"property_id","protocol","source_ref","source_url","evidence_span","normative_level","candidate_class","requirement_summary","actor","scope_or_state","trigger","precondition","obligation_kind","required_or_forbidden_event","lower_bound","upper_bound","endpoint_kind","unit","repeat_count","stop_or_cancel_event","exception","parameter_origin","formula_template","guidance_beta_candidate","ap_bindings","observation_contract","expressibility_status","reviewer_1","reviewer_2","review_state","notes","formula_template_dialect","instantiated_mightyppl_formula","parser_status","semantic_relation","source_clause_id","formula_covers_clause","modal_token","modal_policy","normative_phi","observer_profile","monitor_horizon","formula_review_state","beta_review_state","evidence_model","tool_commit","formula_hash"
"DTLS-7.1-QUARTER-TIMER","DTLS 1.3","RFC 9147 §7.1","https://www.rfc-editor.org/rfc/rfc9147.html#section-7.1","partial-flight delayed ACK discussion","informative approach; explicitly arbitrary","hard_negative","One possible delayed-ACK implementation sets a timer to one quarter of the current retransmit timer.","DTLS receiver","partial incoming flight","first_partial_record","rest of flight not immediately received","example heuristic","send_partial_ack","0.25*RTO","0.25*RTO","punctual example","ms","1","rest_of_flight_received","the RFC calls the value somewhat arbitrary and other approaches are allowed","implementation choice","","","partial_record; ack; current_rto","record only if evaluating a specific implementation policy","unsupported_as_oracle","PENDING","PENDING","unsupported","This row is a hard negative against treating every numeric timer phrase as a normative property.","NONE","","NOT_APPLICABLE","not_an_oracle","DTLS-7.1-QUARTER-TIMER","No compiled formula; IR requires split/context/parameter review.","informative example","hard_negative","Informative example only; no normative phi.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"DTLS-8-KEYUPDATE-ACK","DTLS 1.3","RFC 9147 §8","https://www.rfc-editor.org/rfc/rfc9147.html#section-8","first KeyUpdate paragraph","MUST/MUST NOT","ordering_not_timed","KeyUpdate must be acknowledged, and a sender must not use new keys or send another KeyUpdate before the previous one is acknowledged.","DTLS endpoint","one connection/key-update transaction","send_key_update","previous update unacknowledged","ordering/absence","acknowledge update; forbid new-key record and next KeyUpdate before ACK","","","","","1","ack_key_update","epoch limits may override responding to update_requested","none; transaction identity required","G*(key_update_pending -> (!new_key_record && !next_key_update))","","send_key_update(conn,epoch); ack_key_update(conn,epoch); new_key_record(conn,epoch+1)","connection+epoch keyed monitor; ACK record-number grounding","needs_context","PENDING","PENDING","needs_context","Normative and monitorable, but primarily an ordering property; keep separate from the timed-property prevalence statistics.","tafuzz_req_pseudocode_v1","","NOT_RUN_PSEUDOCODE","partial_clause_only","DTLS-8-KEYUPDATE-ACK","forbids new-key record and next KeyUpdate while pending; acknowledgement liveness not compiled","MUST + MUST NOT","split_required","Split acknowledgement liveness from the MUST-NOT ordering obligations before compilation.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"SIP-17.1.1-A-B","SIP","RFC 3261 §17.1.1.2","https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.1.2","first formal-description paragraphs","MUST","needs_parameter","For an INVITE client transaction, UDP starts Timer A at T1 and every transport starts Timer B at 64*T1; Timer A expiry retransmits and doubles its interval.","SIP INVITE client transaction","Calling","invite_sent","UDP for Timer A; all transports for Timer B","timer initialization and repeated response","start_A(T1); start_B(64*T1); retransmit on A","T1","64*T1","schedule-dependent","ms","until response or B","receive_1xx_or_final; Timer_B","reliable transport should not start A; T1 may differ from 500 ms","target runtime T1 and transport; RFC default T1=500 ms","","","invite_sent(tx); transport_udp(tx); timer_A_started(tx,value); timer_B_started(tx,value); timer_A_fired(tx); invite_retx(tx)","one monitor per Via branch+CSeq method; timer hooks needed; transport is part of scope","needs_parameter","PENDING","PENDING","needs_parameter","The numeric default must not replace the target's actual configured T1.","NONE","","NOT_APPLICABLE","uncompiled_ir_only","SIP-17.1.1-A-B","No compiled formula; IR requires split/context/parameter review.","multiple MUST + SHOULD NOT","split_required","Split Timer A initialization/retransmission and Timer B timeout into atomic clauses.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"SIP-17.1.1-STOP-ON-1XX","SIP","RFC 3261 §17.1.1.2","https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.1.2","Calling-to-Proceeding prose","SHOULD NOT retransmit; MUST pass response","direct_with_observer_horizon","After a provisional 1xx response, the INVITE client transaction stops retransmitting the request.","SIP INVITE client transaction","Calling/Proceeding","receive_1xx","matching Via branch and CSeq method","future absence","forbid INVITE retransmission","0","Timer_B_or_transaction_end","lower open","ms","0","final_response; timeout; termination","transport errors terminate the transaction","runtime transaction horizon","","","recv_1xx(tx); invite_retx(tx); transaction_end(tx)","transaction matching by top Via branch plus CSeq method; distinguish retransmission from a new INVITE","needs_context","PENDING","PENDING","needs_context","Because the source modal is SHOULD NOT, report violations as anomalies unless a stricter project profile upgrades it.","NONE","","NOT_APPLICABLE","uncompiled_ir_only","SIP-17.1.1-STOP-ON-1XX","No compiled formula; IR requires split/context/parameter review.","SHOULD NOT(retransmit); MUST(pass response)","split_required","After matching 1xx, no INVITE retransmission occurs while the transaction is Proceeding; state semantics required.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"SIP-17.1.1-TIMER-B","SIP","RFC 3261 §17.1.1.2","https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.1.2","Timer B timeout paragraph","MUST start B; SHOULD report timeout; MUST NOT ACK","mixed","If still Calling at Timer B=64*T1 expiry, report timeout to the TU and do not generate an ACK.","SIP INVITE client transaction","Calling","timer_B_fired","no response ended Calling","bounded response and prohibition","inform_TU_timeout; no ACK","0","observer_delta","closed","ms","1","leave Calling","transport error is a separate exit","runtime T1 plus measured observer delta","","","timer_B_fired(tx); calling(tx); timeout_reported(tx); ack_generated(tx)","timer/TU hook needed; packet capture can observe ACK but not internal timeout report","needs_ap_binding","PENDING","PENDING","needs_ap_binding","Only the forbidden ACK is MUST NOT; failure to inform the TU is a SHOULD-level anomaly.","NONE","","NOT_APPLICABLE","uncompiled_ir_only","SIP-17.1.1-TIMER-B","No compiled formula; IR requires split/context/parameter review.","MUST start; SHOULD report; MUST NOT ACK","split_required","Split SHOULD timeout report from MUST-NOT ACK before compilation.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"SIP-17.2.1-TRYING-200MS","SIP","RFC 3261 §17.2.1","https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.1","opening Proceeding-state paragraph","MUST with explicit exception","needs_ap_binding","An INVITE server transaction sends 100 Trying unless the TU supplies a provisional or final response within 200 ms.","SIP INVITE server transaction","Proceeding","invite_received","implementation can justify knows_tu_will_respond_within_200ms; knowledge evidence is not yet grounded","bounded disjunctive response","send_100_trying OR send_other_provisional_or_final","0","200","closed","ms","1","any qualifying response","the exception is satisfied by a TU provisional or final response within the window","fixed RFC bound","G*(recv_invite -> F_[0,200] (send_100 || send_provisional_or_final))","","recv_invite(tx); send_100(tx); send_provisional_or_final(tx)","one monitor per server transaction; timestamp at transaction-layer receive/send hooks or justified packet boundaries","needs_context","PENDING","PENDING","needs_context","Priority seed for independent review only. The observable 200 ms disjunction is necessary but not equivalent to the RFC knowledge-based clause; endpoint closure is unresolved.","tafuzz_req_pseudocode_v1","","NOT_RUN_PSEUDOCODE","necessary_observable_condition_not_equivalent","SIP-17.2.1-TRYING-200MS","observable response within 200 ms only; does not encode knowledge that the TU will respond","MUST with knowledge-based exception","conformance_candidate_after_approval","If the transaction does not know the TU will respond within 200 ms, it must generate 100 Trying; the knowledge predicate is not yet grounded.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"SIP-17.1.2-E-F","SIP","RFC 3261 §17.1.2.2","https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.2.2","Trying/Proceeding timer paragraphs","MUST for E scheduling/retransmission; SHOULD for F setup/timeout in Trying; MUST in Proceeding timeout transition","needs_parameter","A UDP non-INVITE transaction retransmits at T1, 2*T1, 4*T1 capped at T2; Timer F at 64*T1 terminates the transaction if no final response.","SIP non-INVITE client transaction","Trying/Proceeding","non_invite_sent","UDP and no final response","schedule plus timeout","retransmit request; terminate/report timeout","T1","64*T1","schedule-dependent","ms","until final response","final_response_200_699; Timer_F","in Proceeding each E interval is T2 rather than exponential","target runtime T1/T2/transport; RFC defaults 500 ms/4 s","","","request(tx); state_trying(tx); state_proceeding(tx); E_fired(tx); F_fired(tx); retransmit(tx); final_response(tx); terminated(tx)","transaction state and timers need hooks; packet-only inference must account for loss and capture point","needs_parameter","PENDING","PENDING","needs_parameter","Do not flatten the two states into one periodic rule; the cap and Proceeding behavior differ.","NONE","","NOT_APPLICABLE","uncompiled_ir_only","SIP-17.1.2-E-F","No compiled formula; IR requires split/context/parameter review.","multiple MUST + SHOULD","split_required","Split E schedule, F timeout report, and state transition obligations.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"SIP-17.1.1-TIMER-D","SIP","RFC 3261 §17.1.1.2","https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.1.2","Completed-state Timer D paragraph","SHOULD start Timer D","minimum_duration_anomaly","After a 300-699 response over an unreliable transport, Completed should persist for at least 32 s; reliable transports use zero.","SIP INVITE client transaction","Completed","receive_300_699","unreliable transport","minimum state duration","do not terminate before 32 s","32","","lower closed","s","1","timer_D_fired","reliable transport has zero delay","transport plus RFC absolute minimum","G*(enter_completed && udp -> G_[0,TIMER_D_MIN) !terminated)","","enter_completed(tx); transport_udp(tx); terminated(tx)","transaction-state hook preferred; packet silence cannot prove state retention","candidate_anomaly","PENDING","PENDING","candidate","SHOULD-level only; use as anomaly unless implementation profile makes it mandatory.","tafuzz_req_pseudocode_v1","","NOT_RUN_PSEUDOCODE","partial_clause_only","SIP-17.1.1-TIMER-D","minimum Completed-state dwell over UDP only","SHOULD","anomaly_only","SHOULD-level minimum Completed-state duration for unreliable transport.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"SIP-17.2.1-G-H-CANCEL","SIP","RFC 3261 §17.2.1","https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.1","Completed-state timers G/H and ACK transition","MUST for H setup/ACK transition/failure transition; timer-G schedule is state-machine prose","needs_parameter","A 300-699 INVITE response over UDP is retransmitted on Timer G with doubling capped at T2; ACK stops retransmission; Timer H at 64*T1 terminates with failure if no ACK.","SIP INVITE server transaction","Completed","send_300_699","UDP for G; all transports for H","retransmission schedule, cancel, timeout","retransmit response; stop after ACK; terminate/report failure at H","T1","64*T1","schedule-dependent","ms","until ACK or H","receive_ack","reliable transport does not start G","target runtime T1/T2/transport","","","send_final(tx); timer_G(tx); timer_H(tx); recv_ack(tx); response_retx(tx); confirmed(tx); failure(tx)","transaction matching and internal state/timer hooks; ACK must match the INVITE transaction","needs_parameter","PENDING","PENDING","needs_parameter","The cancel subproperty is a strong first target; the exact retransmission schedule needs configured T1/T2.","NONE","","NOT_APPLICABLE","uncompiled_ir_only","SIP-17.2.1-G-H-CANCEL","No compiled formula; IR requires split/context/parameter review.","multiple MUST + state-machine prose","split_required","Split G schedule, ACK cancellation, and H failure transition into atomic clauses.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"SIP-TIMER-TABLE","SIP","RFC 3261 Table 4","https://www.rfc-editor.org/rfc/rfc3261.html#page-265","summary table of T1/T2/T4 and Timers A-K","summary/default values; mixed normative force only in referenced sections","hard_negative","The table lists timer defaults and meanings but does not by itself state every trigger, exception, transport condition, or modal strength.","none","summary","timer name and number are retrieved","none","parameter declaration/index","none","","","","","","","must follow referenced sections","RFC defaults plus target runtime configuration","","","timer configuration symbols","use table for parameter vocabulary and cross-reference expansion, never as the sole evidence span","unsupported_as_oracle","PENDING","PENDING","unsupported","This hard negative tests whether extraction preserves section context rather than turning a timer table into invented formulas.","NONE","","NOT_APPLICABLE","not_an_oracle","SIP-TIMER-TABLE","No compiled formula; IR requires split/context/parameter review.","summary only","hard_negative","Summary/default index only; no normative phi.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
