property_id,category,role,requirement,source_strength,rfc,section,rfc_url,rfc_excerpt_summary,time_bound_ms,time_source,mathematical_mitl,mightyppl_formula,formula_kind,trigger_ap,outcome_or_bad_ap,ap_set,correlation_key,primary_hooks,auxiliary_hooks,positive_timed_word,negative_timed_word,observability,oracle_value,confidence,human_review_status,review_question
SIP-KAM-011,non-INVITE server transaction,UAS/server transaction,A newly constructed non-INVITE server transaction enters Trying and passes the request upward.,MUST/state-machine,RFC3261,17.2.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.2,"For non-INVITE requests, the server transaction starts in Trying and passes the request to the TU.",2,adapter microstep expansion,"G(server_rx_noninvite_new_tx -> F_[0,2ms] noninvite_tx_trying)","G* (server_rx_noninvite_new_tx -> F [0,2] noninvite_tx_trying)",eventual,server_rx_noninvite_new_tx,noninvite_tx_trying,server_rx_noninvite_new_tx|noninvite_tx_trying,Call-ID + CSeq + top Via branch/sent-by,HK_RX_PARSE_OK|HK_TX_NEW,HK_TX_LOOKUP,"time,props\n0,{server_rx_noninvite_new_tx}\n1,{noninvite_tx_trying}\n","time,props\n0,{server_rx_noninvite_new_tx}\n3,{noninvite_tx_trying}\n",white-box transaction creation,high: covers OPTIONS/BYE/CANCEL class setup,HIGH,PENDING,CANCEL is handled specially; property should exclude CANCEL when original-transaction semantics are being tested separately.
SIP-KAM-012,non-INVITE retransmission discard,UAS/server transaction,"A retransmitted non-INVITE request in Trying is discarded, not delivered again to the TU.",MUST/state-machine,RFC3261,17.2.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.2,"In Trying, retransmissions of non-INVITE requests are discarded.",2,adapter microstep expansion,"G(noninvite_retransmission_in_trying -> G_[0,2ms] not passed_to_tu)","G* (noninvite_retransmission_in_trying -> G [0,2] (!noninvite_retransmission_passed_to_tu))",safety,noninvite_retransmission_in_trying,noninvite_retransmission_passed_to_tu,noninvite_retransmission_in_trying|noninvite_retransmission_passed_to_tu,same non-INVITE transaction key,HK_TX_LOOKUP|HK_TIMER_STOP,HK_RX_PARSE_OK,"time,props\n0,{noninvite_retransmission_in_trying}\n1,{}\n","time,props\n0,{noninvite_retransmission_in_trying}\n1,{noninvite_retransmission_passed_to_tu}\n",white-box lookup plus route/TU boundary hook,medium/high: detects duplicate request processing,MEDIUM,PENDING,Needs a route/TU delivery hook to avoid interpreting missing events under event drop as pass.
SIP-KAM-013,non-INVITE provisional response,UAS/server transaction,A provisional response for a non-INVITE transaction moves it to Proceeding and sends the response.,MUST/state-machine,RFC3261,17.2.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.2,"If a provisional response is passed to the non-INVITE server transaction, it enters Proceeding and passes it to transport.",2,adapter microstep expansion,"G(noninvite_tu_provisional -> F_[0,2ms] noninvite_tx_proceeding_response_sent)","G* (noninvite_tu_provisional -> F [0,2] noninvite_tx_proceeding_response_sent)",eventual,noninvite_tu_provisional,noninvite_tx_proceeding_response_sent,noninvite_tu_provisional|noninvite_tx_proceeding_response_sent,same non-INVITE transaction,HK_RELAY_REPLY|HK_SEND_PR_BUFFER,HK_TX_LOOKUP,"time,props\n0,{noninvite_tu_provisional}\n1,{noninvite_tx_proceeding_response_sent}\n","time,props\n0,{noninvite_tu_provisional}\n3,{noninvite_tx_proceeding_response_sent}\n",send hook plus status class,medium: useful for OPTIONS/BYE provisional edge cases,MEDIUM,PENDING,RFC says UAS SHOULD NOT generally send provisional for non-INVITE; this property applies only if TU emits one.
SIP-KAM-014,non-INVITE final response,UAS/server transaction,A final response to a non-INVITE server transaction enters Completed and is sent.,MUST/state-machine,RFC3261,17.2.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.2,Final responses 200-699 cause Completed and are passed to transport.,2,adapter microstep expansion,"G(noninvite_tu_final_response -> F_[0,2ms] noninvite_tx_completed_final_sent)","G* (noninvite_tu_final_response -> F [0,2] noninvite_tx_completed_final_sent)",eventual,noninvite_tu_final_response,noninvite_tx_completed_final_sent,noninvite_tu_final_response|noninvite_tx_completed_final_sent,same non-INVITE transaction,HK_RELAY_REPLY|HK_SEND_PR_BUFFER,HK_PUT_ON_WAIT,"time,props\n0,{noninvite_tu_final_response}\n1,{noninvite_tx_completed_final_sent}\n","time,props\n0,{noninvite_tu_final_response}\n3,{noninvite_tx_completed_final_sent}\n",send hook plus wait-state hook,high: core non-INVITE response oracle,HIGH,PENDING,Need distinguish server-side final response from proxied branch final selected for forwarding.
SIP-KAM-015,non-INVITE retransmission in Completed,UAS/server transaction,A retransmitted non-INVITE request in Completed gets the stored final response retransmitted.,MUST/state-machine,RFC3261,17.2.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.2,"In Completed, retransmissions are passed the final response previously sent.",2,adapter microstep expansion,"G(noninvite_retransmission_in_completed -> F_[0,2ms] noninvite_final_response_retransmitted)","G* (noninvite_retransmission_in_completed -> F [0,2] noninvite_final_response_retransmitted)",eventual,noninvite_retransmission_in_completed,noninvite_final_response_retransmitted,noninvite_retransmission_in_completed|noninvite_final_response_retransmitted,same non-INVITE transaction key,HK_TX_LOOKUP|HK_RETRANSMIT_REPLY,HK_SEND_PR_BUFFER,"time,props\n0,{noninvite_retransmission_in_completed}\n1,{noninvite_final_response_retransmitted}\n","time,props\n0,{noninvite_retransmission_in_completed}\n3,{noninvite_final_response_retransmitted}\n",lookup and send retransmission hook,high: catches response cache/retransmission bugs,HIGH,PENDING,Timer J expiry must be handled as legal supersession in long traces.
SIP-KAM-016,transaction matching,UAS/proxy transaction layer,Requests with RFC3261 magic-cookie branch and matching sent-by/method map to the existing transaction.,MUST/matching rule,RFC3261,17.2.3,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.3,"With magic-cookie branch, matching uses branch, sent-by, and method, except ACK matches INVITE.",2,adapter microstep expansion,"G(magic_cookie_match_candidate -> F_[0,2ms] tx_lookup_existing_match)","G* (request_with_magic_cookie_matches_existing_tx -> F [0,2] tx_lookup_existing_match)",eventual,request_with_magic_cookie_matches_existing_tx,tx_lookup_existing_match,request_with_magic_cookie_matches_existing_tx|tx_lookup_existing_match,top Via branch/sent-by + CSeq method exception + transaction bucket/hash,HK_TX_LOOKUP,HK_RX_PARSE_OK,"time,props\n0,{request_with_magic_cookie_matches_existing_tx}\n1,{tx_lookup_existing_match}\n","time,props\n0,{request_with_magic_cookie_matches_existing_tx}\n3,{tx_lookup_existing_match}\n",white-box lookup; pcap can provide candidate fields,high: prevents transaction-key explosion/ambiguity,HIGH,PENDING,AP names exclude dynamic branch values; fields live only in correlation metadata.
SIP-KAM-017,CANCEL matched response,UAS/proxy transaction layer,A CANCEL that matches an existing transaction receives a 200 OK to the CANCEL itself.,SHOULD/MUST behavior,RFC3261,9.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-9.2,"If a matching transaction exists, the UAS first processes the CANCEL and then answers the CANCEL with 200 OK.",2,adapter microstep expansion,"G(cancel_matches_original_transaction -> F_[0,2ms] cancel_tx_200_ok)","G* (cancel_matches_original_transaction -> F [0,2] cancel_tx_200_ok)",eventual,cancel_matches_original_transaction,cancel_tx_200_ok,cancel_matches_original_transaction|cancel_tx_200_ok,CANCEL transaction + matched original transaction,HK_FORWARD_NONACK|HK_E2E_CANCEL|HK_SEND_PR_BUFFER,HK_TX_LOOKUP,"time,props\n0,{cancel_matches_original_transaction}\n1,{cancel_tx_200_ok}\n","time,props\n0,{cancel_matches_original_transaction}\n3,{cancel_tx_200_ok}\n",white-box cancel path plus send hook,high: explicit SIP CANCEL oracle,HIGH,PENDING,Separate this from 487 to the original INVITE; both may occur in the same callback.
SIP-KAM-018,CANCEL effect on INVITE,UAS/proxy transaction layer,A matching CANCEL received before final response to an INVITE causes the original INVITE to receive 487.,SHOULD behavior,RFC3261,9.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-9.2,"If no final response has been sent for the INVITE, the UAS behavior SHOULD generate a 487 response.",2,adapter microstep expansion,"G(cancel_matches_invite_before_final -> F_[0,2ms] original_invite_tx_487)","G* (cancel_matches_invite_before_final -> F [0,2] original_invite_tx_487)",eventual,cancel_matches_invite_before_final,original_invite_tx_487,cancel_matches_invite_before_final|original_invite_tx_487,CANCEL transaction + original INVITE transaction,HK_FORWARD_NONACK|HK_E2E_CANCEL|HK_SEND_PR_BUFFER,HK_CANCEL_BRANCH,"time,props\n0,{cancel_matches_invite_before_final}\n1,{original_invite_tx_487}\n","time,props\n0,{cancel_matches_invite_before_final}\n3,{original_invite_tx_487}\n",white-box cancel effect and send hook; pcap cross-check,high: protocol-visible violation,HIGH,PENDING,"If downstream branch already sent a final response, this obligation must be suppressed by correlation state."
SIP-KAM-019,proxy branch CANCEL gating,stateful proxy/client transaction,A stateful proxy should only generate branch CANCEL after a provisional response makes that branch cancelable.,MUST/MAY constrained by RFC9.1/16.10,RFC3261,9.1 and 16.10,https://www.rfc-editor.org/rfc/rfc3261.html#section-16.10,"A stateful proxy cancels pending client transactions, subject to the caller-side CANCEL rule that a provisional response was received.",2,adapter microstep expansion,"G(branch_cancel_requested_without_provisional -> G_[0,2ms] not branch_cancel_sent)","G* (branch_cancel_requested_without_provisional -> G [0,2] (!branch_cancel_sent))",safety,branch_cancel_requested_without_provisional,branch_cancel_sent,branch_cancel_requested_without_provisional|branch_cancel_sent,client branch id derived after transaction correlation,HK_CANCEL_BRANCH|HK_E2E_CANCEL,HK_REPLY_RECEIVED,"time,props\n0,{branch_cancel_requested_without_provisional}\n1,{}\n","time,props\n0,{branch_cancel_requested_without_provisional}\n1,{branch_cancel_sent}\n",white-box branch state and send hook,medium/high: avoids illegal early downstream CANCEL,MEDIUM,Manual review must classify force/local-cancel modes that intentionally deviate.,Should forced local CANCEL paths be excluded from the main property or modeled as legal supersession?
SIP-KAM-020,proxy 100 Trying forwarding,stateful proxy,A stateful proxy must not immediately forward 100 Trying responses upstream.,MUST NOT/proxy response processing,RFC3261,16.7,https://www.rfc-editor.org/rfc/rfc3261.html#section-16.7,Stateful proxies forward provisional responses except 100 Trying; 100 Trying is not immediately forwarded.,2,adapter microstep expansion,"G(proxy_rx_100_trying_response -> G_[0,2ms] not proxy_forward_100_trying)","G* (proxy_rx_100_trying_response -> G [0,2] (!proxy_forward_100_trying))",safety,proxy_rx_100_trying_response,proxy_forward_100_trying,proxy_rx_100_trying_response|proxy_forward_100_trying,response branch matched to proxy response context,HK_REPLY_RECEIVED|HK_RELAY_REPLY,HK_SEND_PR_BUFFER,"time,props\n0,{proxy_rx_100_trying_response}\n1,{}\n","time,props\n0,{proxy_rx_100_trying_response}\n1,{proxy_forward_100_trying}\n",upstream response hook plus actual send hook,high: externally visible proxy violation,HIGH,PENDING,Needs send-direction metadata to avoid confusing downstream 100 generation with upstream forwarding.
